"isono","year","sexno","ageno","eduno","ryl15"
174,2080,0,0,0,65.3
174,2085,0,0,0,66
174,2090,0,0,0,66.8
174,2095,0,0,0,67.6
175,2010,0,0,0,71.9
175,2015,0,0,0,73.1
175,2020,0,0,0,74.1
175,2025,0,0,0,74.9
175,2030,0,0,0,75.8
175,2035,0,0,0,76.8
175,2040,0,0,0,77.6
175,2045,0,0,0,78.5
175,2050,0,0,0,79.4
175,2055,0,0,0,80.2
175,2060,0,0,0,81.2
175,2065,0,0,0,82.1
175,2070,0,0,0,82.9
175,2075,0,0,0,83.8
175,2080,0,0,0,84.6
175,2085,0,0,0,85.5
175,2090,0,0,0,86.5
175,2095,0,0,0,87.3
178,2010,0,0,0,62.6
178,2015,0,0,0,63
178,2020,0,0,0,63.3
178,2025,0,0,0,63.9
178,2030,0,0,0,64
178,2035,0,0,0,64
178,2040,0,0,0,64.4
178,2045,0,0,0,64.5
178,2050,0,0,0,64.7
178,2055,0,0,0,65
178,2060,0,0,0,65.5
178,2065,0,0,0,66
178,2070,0,0,0,66.7
178,2075,0,0,0,67.3
178,2080,0,0,0,67.9
178,2085,0,0,0,68.6
178,2090,0,0,0,69.4
178,2095,0,0,0,70.2
180,2010,0,0,0,60.1
180,2015,0,0,0,60.5
180,2020,0,0,0,60.8
180,2025,0,0,0,61.1
180,2030,0,0,0,61.5
180,2035,0,0,0,61.6
180,2040,0,0,0,62.1
180,2045,0,0,0,62.3
180,2050,0,0,0,62.6
180,2055,0,0,0,63.1
180,2060,0,0,0,63.6
180,2065,0,0,0,64
180,2070,0,0,0,64.3
180,2075,0,0,0,64.6
180,2080,0,0,0,65.1
180,2085,0,0,0,65.6
180,2090,0,0,0,66
180,2095,0,0,0,66.8
188,2010,0,0,0,71.1
188,2015,0,0,0,71.8
188,2020,0,0,0,72.6
188,2025,0,0,0,73.3
188,2030,0,0,0,74
188,2035,0,0,0,74.6
188,2040,0,0,0,75.1
188,2045,0,0,0,75.8
188,2050,0,0,0,76.7
188,2055,0,0,0,77.5
188,2060,0,0,0,78.4
188,2065,0,0,0,79.4
188,2070,0,0,0,80.1
188,2075,0,0,0,81.1
188,2080,0,0,0,82
188,2085,0,0,0,82.9
188,2090,0,0,0,83.8
188,2095,0,0,0,84.7
191,2010,0,0,0,67.5
191,2015,0,0,0,68.5
191,2020,0,0,0,69.5
191,2025,0,0,0,70.4
191,2030,0,0,0,71.4
191,2035,0,0,0,72.3
191,2040,0,0,0,73.2
191,2045,0,0,0,74
191,2050,0,0,0,74.9
191,2055,0,0,0,75.9
191,2060,0,0,0,76.8
191,2065,0,0,0,77.6
191,2070,0,0,0,78.5
191,2075,0,0,0,79.4
191,2080,0,0,0,80.3
191,2085,0,0,0,81.3
191,2090,0,0,0,82.2
191,2095,0,0,0,83.2
192,2010,0,0,0,70.4
192,2015,0,0,0,71.5
192,2020,0,0,0,72.4
192,2025,0,0,0,73.2
192,2030,0,0,0,74.1
192,2035,0,0,0,75.1
