"isono","year","sexno","ageno","eduno","ggapedu25"
24,2000,0,0,2,0.42
24,2000,0,0,3,0.85
24,2000,0,0,4,1.21
24,2000,0,0,5,1.8
24,2000,0,0,6,3.08
24,2000,0,0,7,4.44
24,2005,0,0,0,NA
24,2005,0,0,1,NA
24,2005,0,0,2,0.41
24,2005,0,0,3,0.81
24,2005,0,0,4,1.11
24,2005,0,0,5,1.55
24,2005,0,0,6,2.65
24,2005,0,0,7,3.51
24,2010,0,0,0,NA
24,2010,0,0,1,NA
24,2010,0,0,2,0.42
24,2010,0,0,3,0.77
24,2010,0,0,4,1.06
24,2010,0,0,5,1.45
24,2010,0,0,6,2.21
24,2010,0,0,7,3.09
24,2015,0,0,0,NA
24,2015,0,0,1,NA
24,2015,0,0,2,0.42
24,2015,0,0,3,0.75
24,2015,0,0,4,1.02
24,2015,0,0,5,1.34
24,2015,0,0,6,2.09
24,2015,0,0,7,2.78
24,2020,0,0,0,NA
24,2020,0,0,1,NA
24,2020,0,0,2,0.4
24,2020,0,0,3,0.73
24,2020,0,0,4,1.01
24,2020,0,0,5,1.34
24,2020,0,0,6,2.2
24,2020,0,0,7,2.76
24,2025,0,0,0,NA
24,2025,0,0,1,NA
24,2025,0,0,2,0.39
24,2025,0,0,3,0.75
24,2025,0,0,4,1
24,2025,0,0,5,1.32
24,2025,0,0,6,2.18
24,2025,0,0,7,2.67
24,2030,0,0,0,NA
24,2030,0,0,1,NA
24,2030,0,0,2,0.39
24,2030,0,0,3,0.75
24,2030,0,0,4,0.99
24,2030,0,0,5,1.31
24,2030,0,0,6,2.16
24,2030,0,0,7,2.61
24,2035,0,0,0,NA
24,2035,0,0,1,NA
24,2035,0,0,2,0.39
24,2035,0,0,3,0.75
24,2035,0,0,4,0.99
24,2035,0,0,5,1.29
24,2035,0,0,6,2.16
24,2035,0,0,7,2.57
24,2040,0,0,0,NA
24,2040,0,0,1,NA
24,2040,0,0,2,0.39
24,2040,0,0,3,0.75
24,2040,0,0,4,0.98
24,2040,0,0,5,1.29
