"isono","year","sexno","ageno","eduno","tdr"
100,2090,0,0,0,1.08
100,2095,0,0,0,1.12
100,2100,0,0,0,1.16
104,1970,0,0,0,0.84
104,1975,0,0,0,0.83
104,1980,0,0,0,0.8
104,1985,0,0,0,0.74
104,1990,0,0,0,0.68
104,1995,0,0,0,0.61
104,2000,0,0,0,0.55
104,2005,0,0,0,0.49
104,2010,0,0,0,0.44
104,2015,0,0,0,0.41
104,2020,0,0,0,0.39
104,2025,0,0,0,0.39
104,2030,0,0,0,0.39
104,2035,0,0,0,0.4
104,2040,0,0,0,0.41
104,2045,0,0,0,0.44
104,2050,0,0,0,0.46
104,2055,0,0,0,0.5
104,2060,0,0,0,0.53
104,2065,0,0,0,0.56
104,2070,0,0,0,0.59
104,2075,0,0,0,0.62
104,2080,0,0,0,0.65
104,2085,0,0,0,0.68
104,2090,0,0,0,0.71
104,2095,0,0,0,0.73
104,2100,0,0,0,0.75
108,1970,0,0,0,0.92
108,1975,0,0,0,0.96
108,1980,0,0,0,0.93
108,1985,0,0,0,0.88
108,1990,0,0,0,0.91
108,1995,0,0,0,0.96
108,2000,0,0,0,0.97
108,2005,0,0,0,0.81
108,2010,0,0,0,0.69
108,2015,0,0,0,0.66
108,2020,0,0,0,0.67
108,2025,0,0,0,0.66
108,2030,0,0,0,0.63
108,2035,0,0,0,0.57
108,2040,0,0,0,0.53
108,2045,0,0,0,0.52
108,2050,0,0,0,0.52
108,2055,0,0,0,0.53
108,2060,0,0,0,0.52
108,2065,0,0,0,0.51
108,2070,0,0,0,0.49
108,2075,0,0,0,0.49
108,2080,0,0,0,0.49
108,2085,0,0,0,0.5
108,2090,0,0,0,0.51
108,2095,0,0,0,0.52
108,2100,0,0,0,0.52
112,1970,0,0,0,0.61
112,1975,0,0,0,0.55
112,1980,0,0,0,0.51
112,1985,0,0,0,0.46
112,1990,0,0,0,0.51
112,1995,0,0,0,0.52
112,2000,0,0,0,0.47
112,2005,0,0,0,0.43
112,2010,0,0,0,0.4
112,2015,0,0,0,0.42
112,2020,0,0,0,0.45
112,2025,0,0,0,0.48
112,2030,0,0,0,0.5
112,2035,0,0,0,0.5
112,2040,0,0,0,0.54
