"isono","year","sexno","ageno","eduno","podr"
254,2070,0,0,0,0.086
254,2075,0,0,0,0.095
254,2080,0,0,0,0.103
254,2085,0,0,0,0.112
254,2090,0,0,0,0.119
254,2095,0,0,0,0.125
258,2010,0,0,0,0.061
258,2015,0,0,0,0.06
258,2020,0,0,0,0.064
258,2025,0,0,0,0.072
258,2030,0,0,0,0.08
258,2035,0,0,0,0.091
258,2040,0,0,0,0.102
258,2045,0,0,0,0.109
258,2050,0,0,0,0.112
258,2055,0,0,0,0.114
258,2060,0,0,0,0.117
258,2065,0,0,0,0.126
258,2070,0,0,0,0.131
258,2075,0,0,0,0.137
258,2080,0,0,0,0.139
258,2085,0,0,0,0.136
258,2090,0,0,0,0.133
258,2095,0,0,0,0.133
262,2010,0,0,0,0.051
262,2015,0,0,0,0.052
262,2020,0,0,0,0.057
262,2025,0,0,0,0.06
262,2030,0,0,0,0.067
262,2035,0,0,0,0.071
262,2040,0,0,0,0.082
262,2045,0,0,0,0.093
262,2050,0,0,0,0.105
262,2055,0,0,0,0.116
262,2060,0,0,0,0.126
262,2065,0,0,0,0.135
262,2070,0,0,0,0.14
262,2075,0,0,0,0.144
262,2080,0,0,0,0.148
262,2085,0,0,0,0.151
262,2090,0,0,0,0.154
262,2095,0,0,0,0.156
266,2010,0,0,0,0.047
266,2015,0,0,0,0.047
266,2020,0,0,0,0.051
266,2025,0,0,0,0.055
266,2030,0,0,0,0.062
266,2035,0,0,0,0.067
266,2040,0,0,0,0.072
266,2045,0,0,0,0.079
266,2050,0,0,0,0.086
266,2055,0,0,0,0.095
266,2060,0,0,0,0.107
266,2065,0,0,0,0.119
266,2070,0,0,0,0.127
266,2075,0,0,0,0.135
266,2080,0,0,0,0.141
266,2085,0,0,0,0.145
266,2090,0,0,0,0.149
266,2095,0,0,0,0.152
268,2010,0,0,0,0.133
268,2015,0,0,0,0.126
268,2020,0,0,0,0.129
268,2025,0,0,0,0.14
268,2030,0,0,0,0.158
268,2035,0,0,0,0.178
268,2040,0,0,0,0.183
268,2045,0,0,0,0.186
268,2050,0,0,0,0.19
268,2055,0,0,0,0.195
268,2060,0,0,0,0.206
268,2065,0,0,0,0.223
268,2070,0,0,0,0.232
268,2075,0,0,0,0.222
268,2080,0,0,0,0.205
268,2085,0,0,0,0.193
268,2090,0,0,0,0.189
268,2095,0,0,0,0.191
270,2010,0,0,0,0.043
270,2015,0,0,0,0.042
270,2020,0,0,0,0.043
270,2025,0,0,0,0.045
270,2030,0,0,0,0.05
270,2035,0,0,0,0.056
270,2040,0,0,0,0.063
270,2045,0,0,0,0.074
270,2050,0,0,0,0.081
270,2055,0,0,0,0.088
270,2060,0,0,0,0.095
270,2065,0,0,0,0.102
270,2070,0,0,0,0.109
270,2075,0,0,0,0.117
270,2080,0,0,0,0.123
270,2085,0,0,0,0.127
270,2090,0,0,0,0.131
270,2095,0,0,0,0.135
275,2010,0,0,0,0.029
275,2015,0,0,0,0.031
275,2020,0,0,0,0.031
275,2025,0,0,0,0.031
275,2030,0,0,0,0.033
275,2035,0,0,0,0.037
275,2040,0,0,0,0.042
275,2045,0,0,0,0.046
275,2050,0,0,0,0.052
275,2055,0,0,0,0.059
275,2060,0,0,0,0.065
275,2065,0,0,0,0.073
275,2070,0,0,0,0.084
275,2075,0,0,0,0.094
275,2080,0,0,0,0.102
275,2085,0,0,0,0.11
275,2090,0,0,0,0.118
275,2095,0,0,0,0.125
276,2010,0,0,0,0.14
276,2015,0,0,0,0.144
276,2020,0,0,0,0.142
276,2025,0,0,0,0.142
276,2030,0,0,0,0.148
276,2035,0,0,0,0.157
276,2040,0,0,0,0.171
276,2045,0,0,0,0.187
276,2050,0,0,0,0.187
276,2055,0,0,0,0.177
276,2060,0,0,0,0.168
276,2065,0,0,0,0.162
276,2070,0,0,0,0.163
276,2075,0,0,0,0.161
276,2080,0,0,0,0.159
276,2085,0,0,0,0.158
276,2090,0,0,0,0.153
276,2095,0,0,0,0.15
288,2010,0,0,0,0.041
288,2015,0,0,0,0.043
288,2020,0,0,0,0.044
288,2025,0,0,0,0.046
288,2030,0,0,0,0.051
288,2035,0,0,0,0.055
288,2040,0,0,0,0.061
288,2045,0,0,0,0.067
288,2050,0,0,0,0.072
288,2055,0,0,0,0.078
288,2060,0,0,0,0.083
288,2065,0,0,0,0.088
288,2070,0,0,0,0.093
288,2075,0,0,0,0.099
288,2080,0,0,0,0.105
288,2085,0,0,0,0.112
288,2090,0,0,0,0.118
288,2095,0,0,0,0.123
300,2010,0,0,0,0.133
300,2015,0,0,0,0.127
300,2020,0,0,0,0.123
300,2025,0,0,0,0.126
300,2030,0,0,0,0.129
300,2035,0,0,0,0.136
300,2040,0,0,0,0.141
300,2045,0,0,0,0.15
300,2050,0,0,0,0.16
300,2055,0,0,0,0.168
300,2060,0,0,0,0.176
300,2065,0,0,0,0.177
300,2070,0,0,0,0.172
300,2075,0,0,0,0.163
300,2080,0,0,0,0.155
300,2085,0,0,0,0.149
300,2090,0,0,0,0.146
300,2095,0,0,0,0.148
308,2010,0,0,0,0.065
308,2015,0,0,0,0.059
308,2020,0,0,0,0.058
308,2025,0,0,0,0.062
308,2030,0,0,0,0.071
308,2035,0,0,0,0.087
308,2040,0,0,0,0.092
308,2045,0,0,0,0.095
308,2050,0,0,0,0.103
308,2055,0,0,0,0.114
308,2060,0,0,0,0.134
308,2065,0,0,0,0.157
308,2070,0,0,0,0.168
308,2075,0,0,0,0.171
308,2080,0,0,0,0.168
308,2085,0,0,0,0.163
308,2090,0,0,0,0.162
308,2095,0,0,0,0.164
312,2010,0,0,0,0.072
312,2015,0,0,0,0.073
312,2020,0,0,0,0.076
312,2025,0,0,0,0.083
312,2030,0,0,0,0.09
312,2035,0,0,0,0.098
312,2040,0,0,0,0.111
312,2045,0,0,0,0.123
312,2050,0,0,0,0.132
312,2055,0,0,0,0.134
312,2060,0,0,0,0.125
312,2065,0,0,0,0.115
312,2070,0,0,0,0.108
312,2075,0,0,0,0.106
312,2080,0,0,0,0.112
312,2085,0,0,0,0.117
312,2090,0,0,0,0.119
312,2095,0,0,0,0.119
316,2010,0,0,0,0.06
316,2015,0,0,0,0.063
316,2020,0,0,0,0.071
316,2025,0,0,0,0.079
316,2030,0,0,0,0.087
316,2035,0,0,0,0.096
316,2040,0,0,0,0.105
316,2045,0,0,0,0.11
316,2050,0,0,0,0.111
316,2055,0,0,0,0.11
316,2060,0,0,0,0.11
316,2065,0,0,0,0.113
316,2070,0,0,0,0.121
316,2075,0,0,0,0.13
316,2080,0,0,0,0.139
316,2085,0,0,0,0.146
316,2090,0,0,0,0.15
316,2095,0,0,0,0.152
320,2010,0,0,0,0.036
320,2015,0,0,0,0.036
320,2020,0,0,0,0.037
320,2025,0,0,0,0.038
320,2030,0,0,0,0.039
320,2035,0,0,0,0.04
320,2040,0,0,0,0.042
320,2045,0,0,0,0.046
320,2050,0,0,0,0.051
320,2055,0,0,0,0.058
320,2060,0,0,0,0.065
320,2065,0,0,0,0.073
320,2070,0,0,0,0.082
