"isono","year","sexno","ageno","eduno","etfr"
254,2010,0,0,2,4.76
254,2010,0,0,3,4.08
254,2010,0,0,4,3.34
254,2010,0,0,5,2.7
254,2010,0,0,6,2.31
254,2010,0,0,7,1.87
254,2010,2,0,0,3.02
254,2010,2,0,2,4.76
254,2010,2,0,3,4.08
254,2010,2,0,4,3.34
254,2010,2,0,5,2.7
254,2010,2,0,6,2.31
254,2010,2,0,7,1.87
258,2010,0,0,0,2.01
258,2010,0,0,2,3.39
258,2010,0,0,3,2.9
258,2010,0,0,4,2.56
258,2010,0,0,5,2.28
258,2010,0,0,6,1.96
258,2010,0,0,7,1.72
258,2010,2,0,0,2.01
258,2010,2,0,2,3.39
258,2010,2,0,3,2.9
258,2010,2,0,4,2.56
258,2010,2,0,5,2.28
258,2010,2,0,6,1.96
258,2010,2,0,7,1.72
262,2010,0,0,0,3.5
262,2010,0,0,2,4.21
262,2010,0,0,3,3.85
262,2010,0,0,4,3.29
262,2010,0,0,5,2.49
262,2010,0,0,6,1.94
262,2010,0,0,7,1.68
262,2010,2,0,0,3.5
262,2010,2,0,2,4.21
262,2010,2,0,3,3.85
262,2010,2,0,4,3.29
262,2010,2,0,5,2.49
262,2010,2,0,6,1.94
262,2010,2,0,7,1.68
266,2010,0,0,0,3.06
266,2010,0,0,2,3.53
266,2010,0,0,3,3.73
266,2010,0,0,4,3.14
266,2010,0,0,5,2.49
266,2010,0,0,6,2.15
266,2010,0,0,7,2.23
266,2010,2,0,0,3.06
266,2010,2,0,2,3.53
266,2010,2,0,3,3.73
266,2010,2,0,4,3.14
266,2010,2,0,5,2.49
266,2010,2,0,6,2.15
266,2010,2,0,7,2.23
268,2010,0,0,0,1.57
268,2010,0,0,2,1.96
268,2010,0,0,3,1.96
268,2010,0,0,4,1.96
268,2010,0,0,5,1.98
268,2010,0,0,6,1.72
268,2010,0,0,7,1.38
268,2010,2,0,0,1.57
268,2010,2,0,2,1.96
268,2010,2,0,3,1.96
268,2010,2,0,4,1.96
268,2010,2,0,5,1.98
268,2010,2,0,6,1.72
268,2010,2,0,7,1.38
270,2010,0,0,0,4.84
270,2010,0,0,2,5.92
270,2010,0,0,3,5.38
270,2010,0,0,4,4.54
270,2010,0,0,5,3.34
270,2010,0,0,6,2.57
270,2010,0,0,7,2.23
270,2010,2,0,0,4.84
270,2010,2,0,2,5.92
270,2010,2,0,3,5.38
270,2010,2,0,4,4.54
270,2010,2,0,5,3.34
270,2010,2,0,6,2.57
270,2010,2,0,7,2.23
275,2010,0,0,0,4.28
275,2010,0,0,2,4.85
275,2010,0,0,3,5.2
275,2010,0,0,4,4.96
275,2010,0,0,5,4.39
275,2010,0,0,6,3.77
275,2010,0,0,7,3.29
275,2010,2,0,0,4.28
275,2010,2,0,2,4.85
275,2010,2,0,3,5.2
275,2010,2,0,4,4.96
275,2010,2,0,5,4.39
275,2010,2,0,6,3.77
275,2010,2,0,7,3.29
276,2010,0,0,0,1.3
276,2010,0,0,2,1.47
276,2010,0,0,3,1.47
276,2010,0,0,4,1.47
276,2010,0,0,5,1.47
276,2010,0,0,6,1.32
276,2010,0,0,7,1.19
276,2010,2,0,0,1.3
276,2010,2,0,2,1.47
276,2010,2,0,3,1.47
276,2010,2,0,4,1.47
276,2010,2,0,5,1.47
276,2010,2,0,6,1.32
276,2010,2,0,7,1.19
288,2010,0,0,0,4.26
288,2010,0,0,2,5.97
288,2010,0,0,3,4.74
288,2010,0,0,4,4.26
288,2010,0,0,5,3.31
288,2010,0,0,6,2.29
288,2010,0,0,7,1.56
288,2010,2,0,0,4.26
288,2010,2,0,2,5.97
288,2010,2,0,3,4.74
288,2010,2,0,4,4.26
288,2010,2,0,5,3.31
288,2010,2,0,6,2.29
288,2010,2,0,7,1.56
300,2010,0,0,0,1.38
300,2010,0,0,2,1.64
300,2010,0,0,3,1.64
