"isono","year","sexno","ageno","eduno","e0"
56,2040,0,0,0,87.5
56,2045,0,0,0,88.5
56,2050,0,0,0,89.5
56,2055,0,0,0,90.5
56,2060,0,0,0,91.5
56,2065,0,0,0,92.5
56,2070,0,0,0,93.5
56,2075,0,0,0,94.5
56,2080,0,0,0,95.5
56,2085,0,0,0,96.5
56,2090,0,0,0,97.5
56,2095,0,0,0,98.5
64,2010,1,0,0,65.9
64,2015,1,0,0,67.9
64,2020,1,0,0,69.8
64,2025,1,0,0,71.5
64,2030,1,0,0,73.1
64,2035,1,0,0,74.6
64,2040,1,0,0,76
64,2045,1,0,0,77.3
64,2050,1,0,0,78.7
64,2055,1,0,0,79.9
64,2060,1,0,0,81.1
64,2065,1,0,0,82.2
64,2070,1,0,0,83.4
64,2075,1,0,0,84.5
64,2080,1,0,0,85.5
64,2085,1,0,0,86.6
64,2090,1,0,0,87.6
64,2095,1,0,0,88.6
64,2010,2,0,0,69.9
64,2015,2,0,0,72.1
64,2020,2,0,0,74.1
64,2025,2,0,0,75.8
64,2030,2,0,0,77.5
64,2035,2,0,0,78.9
64,2040,2,0,0,80.4
64,2045,2,0,0,81.6
64,2050,2,0,0,82.9
64,2055,2,0,0,84.1
64,2060,2,0,0,85.2
64,2065,2,0,0,86.4
64,2070,2,0,0,87.5
64,2075,2,0,0,88.6
64,2080,2,0,0,89.6
64,2085,2,0,0,90.7
64,2090,2,0,0,91.7
64,2095,2,0,0,92.8
64,2010,0,0,0,67.8
64,2015,0,0,0,69.8
64,2020,0,0,0,71.8
64,2025,0,0,0,73.5
64,2030,0,0,0,75.1
64,2035,0,0,0,76.6
64,2040,0,0,0,78
64,2045,0,0,0,79.3
64,2050,0,0,0,80.7
64,2055,0,0,0,81.9
64,2060,0,0,0,83
64,2065,0,0,0,84.2
64,2070,0,0,0,85.4
64,2075,0,0,0,86.5
64,2080,0,0,0,87.6
64,2085,0,0,0,88.7
64,2090,0,0,0,89.7
64,2095,0,0,0,90.7
68,2010,1,0,0,64.3
68,2015,1,0,0,65.9
68,2020,1,0,0,67.1
68,2025,1,0,0,68.2
68,2030,1,0,0,69.3
68,2035,1,0,0,70.4
68,2040,1,0,0,71.4
68,2045,1,0,0,72.4
68,2050,1,0,0,73.4
68,2055,1,0,0,74.3
68,2060,1,0,0,75.4
68,2065,1,0,0,76.4
68,2070,1,0,0,77.4
68,2075,1,0,0,78.3
68,2080,1,0,0,79.3
68,2085,1,0,0,80.2
68,2090,1,0,0,81.2
68,2095,1,0,0,82.1
68,2010,2,0,0,68.9
68,2015,2,0,0,70.3
68,2020,2,0,0,71.5
68,2025,2,0,0,72.6
68,2030,2,0,0,73.7
68,2035,2,0,0,74.8
68,2040,2,0,0,75.8
68,2045,2,0,0,76.8
68,2050,2,0,0,77.8
68,2055,2,0,0,78.7
68,2060,2,0,0,79.7
68,2065,2,0,0,80.6
68,2070,2,0,0,81.6
68,2075,2,0,0,82.5
68,2080,2,0,0,83.4
68,2085,2,0,0,84.4
68,2090,2,0,0,85.3
68,2095,2,0,0,86.3
68,2010,0,0,0,66.6
68,2015,0,0,0,68.1
68,2020,0,0,0,69.3
68,2025,0,0,0,70.4
68,2030,0,0,0,71.5
68,2035,0,0,0,72.6
68,2040,0,0,0,73.6
68,2045,0,0,0,74.6
68,2050,0,0,0,75.5
68,2055,0,0,0,76.5
68,2060,0,0,0,77.5
68,2065,0,0,0,78.5
68,2070,0,0,0,79.5
68,2075,0,0,0,80.4
68,2080,0,0,0,81.3
68,2085,0,0,0,82.3
68,2090,0,0,0,83.2
68,2095,0,0,0,84.2
70,2010,1,0,0,73.8
70,2015,1,0,0,75.1
70,2020,1,0,0,76.1
70,2025,1,0,0,77.3
70,2030,1,0,0,78.3
70,2035,1,0,0,79.4
70,2040,1,0,0,80.4
70,2045,1,0,0,81.5
70,2050,1,0,0,82.6
70,2055,1,0,0,83.7
70,2060,1,0,0,84.7
70,2065,1,0,0,85.7
70,2070,1,0,0,86.7
70,2075,1,0,0,87.7
70,2080,1,0,0,88.8
70,2085,1,0,0,89.9
70,2090,1,0,0,90.9
70,2095,1,0,0,92
70,2010,2,0,0,79.1
70,2015,2,0,0,80.3
70,2020,2,0,0,81.3
70,2025,2,0,0,82.3
70,2030,2,0,0,83.3
70,2035,2,0,0,84.4
70,2040,2,0,0,85.3
70,2045,2,0,0,86.3
70,2050,2,0,0,87.3
70,2055,2,0,0,88.3
70,2060,2,0,0,89.3
70,2065,2,0,0,90.3
70,2070,2,0,0,91.2
70,2075,2,0,0,92.2
70,2080,2,0,0,93.3
70,2085,2,0,0,94.3
70,2090,2,0,0,95.4
70,2095,2,0,0,96.4
70,2010,0,0,0,76.5
70,2015,0,0,0,77.8
70,2020,0,0,0,78.8
70,2025,0,0,0,79.9
70,2030,0,0,0,80.9
70,2035,0,0,0,82
70,2040,0,0,0,83
70,2045,0,0,0,84
70,2050,0,0,0,85
70,2055,0,0,0,86.1
70,2060,0,0,0,87
70,2065,0,0,0,88
70,2070,0,0,0,89
70,2075,0,0,0,90
70,2080,0,0,0,91
70,2085,0,0,0,92.1
70,2090,0,0,0,93.1
70,2095,0,0,0,94.2
72,2010,1,0,0,53.6
72,2015,1,0,0,55
72,2020,1,0,0,56.1
72,2025,1,0,0,56.8
72,2030,1,0,0,57.5
72,2035,1,0,0,58.1
72,2040,1,0,0,58.8
72,2045,1,0,0,59.7
72,2050,1,0,0,61
72,2055,1,0,0,62.3
72,2060,1,0,0,63.8
72,2065,1,0,0,65.2
72,2070,1,0,0,66.5
72,2075,1,0,0,67.8
72,2080,1,0,0,69.2
72,2085,1,0,0,70.5
72,2090,1,0,0,71.8
72,2095,1,0,0,73.2
72,2010,2,0,0,51.2
72,2015,2,0,0,52.2
72,2020,2,0,0,53.7
72,2025,2,0,0,55
72,2030,2,0,0,56.4
72,2035,2,0,0,57.6
72,2040,2,0,0,59
72,2045,2,0,0,60.4
72,2050,2,0,0,62.1
72,2055,2,0,0,63.7
72,2060,2,0,0,65.4
72,2065,2,0,0,66.9
72,2070,2,0,0,68.4
72,2075,2,0,0,70
72,2080,2,0,0,71.6
72,2085,2,0,0,73.1
72,2090,2,0,0,74.7
72,2095,2,0,0,76.2
72,2010,0,0,0,52.6
72,2015,0,0,0,53.7
72,2020,0,0,0,55.1
72,2025,0,0,0,56.1
72,2030,0,0,0,57.1
72,2035,0,0,0,57.9
72,2040,0,0,0,58.9
72,2045,0,0,0,60
72,2050,0,0,0,61.4
72,2055,0,0,0,62.9
72,2060,0,0,0,64.5
72,2065,0,0,0,66
72,2070,0,0,0,67.4
72,2075,0,0,0,68.9
72,2080,0,0,0,70.3
72,2085,0,0,0,71.8
72,2090,0,0,0,73.2
72,2095,0,0,0,74.7
76,2010,1,0,0,70.6
76,2015,1,0,0,72.2
76,2020,1,0,0,73.9
76,2025,1,0,0,75.4
76,2030,1,0,0,77
76,2035,1,0,0,78.3
76,2040,1,0,0,79.7
76,2045,1,0,0,80.9
76,2050,1,0,0,81.9
76,2055,1,0,0,82.9
76,2060,1,0,0,83.8
76,2065,1,0,0,84.8
76,2070,1,0,0,85.8
76,2075,1,0,0,86.7
76,2080,1,0,0,87.6
76,2085,1,0,0,88.5
76,2090,1,0,0,89.5
76,2095,1,0,0,90.3
76,2010,2,0,0,77.4
76,2015,2,0,0,78.7
76,2020,2,0,0,80.2
76,2025,2,0,0,81.5
76,2030,2,0,0,82.8
76,2035,2,0,0,84.1
76,2040,2,0,0,85.4
76,2045,2,0,0,86.5
76,2050,2,0,0,87.6
76,2055,2,0,0,88.5
76,2060,2,0,0,89.3
76,2065,2,0,0,90.3
