"isono","year","sexno","ageno","eduno","odr"
196,2035,0,0,0,0.28
196,2040,0,0,0,0.31
196,2045,0,0,0,0.35
196,2050,0,0,0,0.41
196,2055,0,0,0,0.47
196,2060,0,0,0,0.53
196,2065,0,0,0,0.56
196,2070,0,0,0,0.58
196,2075,0,0,0,0.61
196,2080,0,0,0,0.63
196,2085,0,0,0,0.67
196,2090,0,0,0,0.72
196,2095,0,0,0,0.77
196,2100,0,0,0,0.82
203,1970,0,0,0,0.18
203,1975,0,0,0,0.2
203,1980,0,0,0,0.21
203,1985,0,0,0,0.15
203,1990,0,0,0,0.19
203,1995,0,0,0,0.19
203,2000,0,0,0,0.2
203,2005,0,0,0,0.2
203,2010,0,0,0,0.21
203,2015,0,0,0,0.25
203,2020,0,0,0,0.3
203,2025,0,0,0,0.33
203,2030,0,0,0,0.34
203,2035,0,0,0,0.36
203,2040,0,0,0,0.4
203,2045,0,0,0,0.47
203,2050,0,0,0,0.52
203,2055,0,0,0,0.56
203,2060,0,0,0,0.59
203,2065,0,0,0,0.57
203,2070,0,0,0,0.56
203,2075,0,0,0,0.58
203,2080,0,0,0,0.6
203,2085,0,0,0,0.63
203,2090,0,0,0,0.66
203,2095,0,0,0,0.68
203,2100,0,0,0,0.71
204,1970,0,0,0,0.09
204,1975,0,0,0,0.08
204,1980,0,0,0,0.08
204,1985,0,0,0,0.06
204,1990,0,0,0,0.07
204,1995,0,0,0,0.06
204,2000,0,0,0,0.06
204,2005,0,0,0,0.06
204,2010,0,0,0,0.06
204,2015,0,0,0,0.06
204,2020,0,0,0,0.06
204,2025,0,0,0,0.06
204,2030,0,0,0,0.06
204,2035,0,0,0,0.06
204,2040,0,0,0,0.07
204,2045,0,0,0,0.08
204,2050,0,0,0,0.09
204,2055,0,0,0,0.1
204,2060,0,0,0,0.11
204,2065,0,0,0,0.13
204,2070,0,0,0,0.14
204,2075,0,0,0,0.16
204,2080,0,0,0,0.19
204,2085,0,0,0,0.21
204,2090,0,0,0,0.23
204,2095,0,0,0,0.26
204,2100,0,0,0,0.28
208,1970,0,0,0,0.19
208,1975,0,0,0,0.21
208,1980,0,0,0,0.22
208,1985,0,0,0,0.18
208,1990,0,0,0,0.23
208,1995,0,0,0,0.23
208,2000,0,0,0,0.22
208,2005,0,0,0,0.23
208,2010,0,0,0,0.25
208,2015,0,0,0,0.29
208,2020,0,0,0,0.31
208,2025,0,0,0,0.34
208,2030,0,0,0,0.37
208,2035,0,0,0,0.4
