"isono","year","sexno","ageno","eduno","bmys"
724,2090,0,0,0,12.8
724,2090,1,0,0,12.7
724,2090,2,0,0,12.9
724,2095,0,0,0,13
724,2095,1,0,0,12.8
724,2095,2,0,0,13.1
724,2100,0,0,0,13.1
724,2100,1,0,0,13
724,2100,2,0,0,13.2
736,1970,0,0,0,0.3
736,1970,1,0,0,0.4
736,1970,2,0,0,0.1
736,1975,0,0,0,0.4
736,1975,1,0,0,0.5
736,1975,2,0,0,0.2
736,1980,0,0,0,0.5
736,1980,1,0,0,0.7
736,1980,2,0,0,0.3
736,1985,0,0,0,0.7
736,1985,1,0,0,1
736,1985,2,0,0,0.4
736,1990,0,0,0,0.9
736,1990,1,0,0,1.2
736,1990,2,0,0,0.6
736,1995,0,0,0,1.1
736,1995,1,0,0,1.4
736,1995,2,0,0,0.8
736,2000,0,0,0,1.3
736,2000,1,0,0,1.6
736,2000,2,0,0,1
736,2005,0,0,0,1.6
736,2005,1,0,0,1.9
736,2005,2,0,0,1.3
736,2010,0,0,0,1.9
736,2010,1,0,0,2.2
736,2010,2,0,0,1.6
736,2015,0,0,0,2.4
736,2015,1,0,0,2.7
736,2015,2,0,0,2.1
736,2020,0,0,0,3
736,2020,1,0,0,3.3
736,2020,2,0,0,2.8
736,2025,0,0,0,3.7
736,2025,1,0,0,3.9
736,2025,2,0,0,3.5
736,2030,0,0,0,4.4
736,2030,1,0,0,4.6
736,2030,2,0,0,4.3
736,2035,0,0,0,5.1
736,2035,1,0,0,5.3
736,2035,2,0,0,5
736,2040,0,0,0,5.8
736,2040,1,0,0,5.9
736,2040,2,0,0,5.7
736,2045,0,0,0,6.5
736,2045,1,0,0,6.5
736,2045,2,0,0,6.4
736,2050,0,0,0,7.1
736,2050,1,0,0,7.1
736,2050,2,0,0,7.1
736,2055,0,0,0,7.7
736,2055,1,0,0,7.7
736,2055,2,0,0,7.7
736,2060,0,0,0,8.3
736,2060,1,0,0,8.3
736,2060,2,0,0,8.2
736,2065,0,0,0,8.8
736,2065,1,0,0,8.8
736,2065,2,0,0,8.8
736,2070,0,0,0,9.2
736,2070,1,0,0,9.2
736,2070,2,0,0,9.2
736,2075,0,0,0,9.6
736,2075,1,0,0,9.6
736,2075,2,0,0,9.7
736,2080,0,0,0,10
736,2080,1,0,0,10
736,2080,2,0,0,10.1
736,2085,0,0,0,10.4
736,2085,1,0,0,10.4
736,2085,2,0,0,10.4
736,2090,0,0,0,10.7
736,2090,1,0,0,10.7
736,2090,2,0,0,10.8
736,2095,0,0,0,11
736,2095,1,0,0,11
736,2095,2,0,0,11
736,2100,0,0,0,11.3
736,2100,1,0,0,11.2
736,2100,2,0,0,11.3
740,1970,0,0,0,3.6
740,1970,1,0,0,3.7
740,1970,2,0,0,3.4
740,1975,0,0,0,3.8
740,1975,1,0,0,4
740,1975,2,0,0,3.7
740,1980,0,0,0,4.6
740,1980,1,0,0,4.8
740,1980,2,0,0,4.5
740,1985,0,0,0,5.2
740,1985,1,0,0,5.4
740,1985,2,0,0,5
740,1990,0,0,0,5.6
740,1990,1,0,0,5.7
740,1990,2,0,0,5.5
740,1995,0,0,0,5.9
740,1995,1,0,0,6
740,1995,2,0,0,5.8
740,2000,0,0,0,6.2
740,2000,1,0,0,6.3
740,2000,2,0,0,6.2
740,2005,0,0,0,6.5
740,2005,1,0,0,6.5
740,2005,2,0,0,6.4
740,2010,0,0,0,6.8
740,2010,1,0,0,6.8
740,2010,2,0,0,6.8
740,2015,0,0,0,7.4
740,2015,1,0,0,7.3
740,2015,2,0,0,7.4
740,2020,0,0,0,7.9
740,2020,1,0,0,7.8
740,2020,2,0,0,8.1
740,2025,0,0,0,8.5
740,2025,1,0,0,8.3
740,2025,2,0,0,8.6
740,2030,0,0,0,8.9
740,2030,1,0,0,8.8
740,2030,2,0,0,9.1
740,2035,0,0,0,9.4
740,2035,1,0,0,9.2
740,2035,2,0,0,9.6
740,2040,0,0,0,9.8
740,2040,1,0,0,9.6
740,2040,2,0,0,10
740,2045,0,0,0,10.2
740,2045,1,0,0,10
740,2045,2,0,0,10.4
740,2050,0,0,0,10.6
740,2050,1,0,0,10.4
740,2050,2,0,0,10.8
740,2055,0,0,0,10.9
740,2055,1,0,0,10.7
740,2055,2,0,0,11.1
740,2060,0,0,0,11.3
740,2060,1,0,0,11.1
740,2060,2,0,0,11.5
740,2065,0,0,0,11.6
740,2065,1,0,0,11.4
740,2065,2,0,0,11.8
740,2070,0,0,0,11.9
740,2070,1,0,0,11.7
740,2070,2,0,0,12.1
740,2075,0,0,0,12.2
740,2075,1,0,0,12
740,2075,2,0,0,12.3
740,2080,0,0,0,12.4
740,2080,1,0,0,12.2
740,2080,2,0,0,12.6
740,2085,0,0,0,12.7
740,2085,1,0,0,12.5
740,2085,2,0,0,12.8
740,2090,0,0,0,12.9
740,2090,1,0,0,12.7
740,2090,2,0,0,13.1
740,2095,0,0,0,13.1
740,2095,1,0,0,13
740,2095,2,0,0,13.3
740,2100,0,0,0,13.3
740,2100,1,0,0,13.2
740,2100,2,0,0,13.4
748,1970,0,0,0,1.3
748,1970,1,0,0,1.4
748,1970,2,0,0,1.2
748,1975,0,0,0,1.6
748,1975,1,0,0,1.7
748,1975,2,0,0,1.6
748,1980,0,0,0,2
748,1980,1,0,0,2
748,1980,2,0,0,1.9
748,1985,0,0,0,2.3
748,1985,1,0,0,2.3
748,1985,2,0,0,2.4
748,1990,0,0,0,2.8
748,1990,1,0,0,2.7
